79	73.5	49	81	73.5	65	83	82	81	74	73.5	63	60	69.85	82	78
0.179	0.052	0.085	0.111	0.091	0.039	0.093	0.109	0.112	0.085	0.089	0.025	0.045	0.062	0.077	0.1
1.178649237	0.523159298	0.488095238	0.317523057	0.169590643	2.225806452	0.25	0.529051988	0.420454545	1.096436059	1.188183807	2.703703704	1.525252525	0.675041876	0.572357724	0.055966209
104	96.5	384.5	73.5	63	203	46	58.5	70	151	153.5	207	320	241	59.5	97
8	15.6	146	4	3	61	3	4	6	14	21	87	84	10	4	6
21	26.1	540	7	7	200	5	8	12	300	56	260	360	34	7	73
4.7	104	512	5.7	7.7	249	26	6	5.6	46	46	350	291	124	7.1	12
0.33	0.057	0.017	0.251	0.215	0.019	0.05	0.175	0.262	0.313	0.188	0.055	0.042	0.265	0.262	0.215
36.9	18	1.5	36.01	49	6.49	21.42	40.7	19.1	7.58	17.2	8.1	1.4	43.09	31.08	67.2
3	3.836	0.8	8.3	3.3	0.9	13.7	5.3	3.4	2.8	2.4	0.6	1.4	9.7	3.4	5.1
1	0.64	0.24	1	1	0.34	1	1	1	0.79	0.8	0.45	0.31	0.7	1	0.91
